书名,作者,译者,出版单位,出版时间,定价,豆瓣评分,评价人数,短评
总统是靠不住的,林达 ,, 生活·读书·新知三联书店 , 2004-08 , 21.80,8.8,17814人评价,美国政治法律制度的基本原理和操作细节
人间草木,汪曾祺 ,, 江苏文艺出版社 , 2005-01 , 20.00元,9.0,17027人评价,我就是要这样香，香得痛痛快快
我的天才女友,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-1 , 42.00元,8.5,62091人评价,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
顾城的诗,顾城 ,, 人民文学出版社 , 1998-12 , 20.00,8.8,19508人评价,火焰是我们诗歌唯一的读者
全球通史,(美) 斯塔夫里阿诺斯 , 吴象婴 , 北京大学出版社 , 2012-2-1 , 168.00元,9.1,12139人评价,从史前史到21世纪
民主的细节,刘瑜 ,, 上海三联书店 , 2009-6 , 25.00,8.6,69850人评价,公民养成手册
上学记,何兆武 口述 ,, 生活·读书·新知三联书店 , 2006-8 , 19.80元,8.9,12433人评价,20世纪中国知识分子的心灵史
荆棘鸟,[澳] 考琳·麦卡洛 , 曾胡 , 译林出版社 , 1998-7 , 28.00元,8.6,45899人评价,澳洲乱世情
倚天屠龙记(共四册),金庸 ,, 三联书店 , 1999-04 , 47.00,8.6,50757人评价,不识张郎是张郎
茶馆,老舍 ,, 人民文学出版社 , 2002-1 , 9.80元,9.0,15740人评价,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
一句顶一万句,刘震云 ,, 长江文艺出版社 , 2009-3 , 29.80,8.7,39108人评价,一句胜过千年
雨季不再来,三毛 ,, 北京十月文艺出版社 , 2007-7 , 28.00元,8.7,42030人评价,三毛少女时代的成长感受
草房子,曹文轩 ,, 江苏少年儿童出版社 , 2009-6 , 18.00元,9.0,23334人评价,男孩桑桑刻骨铭心、终身难忘的六年小学生活
一千零一夜,纳川 ,, 人民文学出版社 , 2003-01 , 22.00,8.7,46440人评价,阿拉伯地区的古代民间传说
雷雨,曹禺 ,, 人民文学出版社 , 1999-05 , 9.20,8.6,62084人评价,一幕人生大悲剧，在一个雷雨夜爆发
正见,宗萨蒋扬钦哲仁波切 , 姚仁喜 , 中国友谊出版公司 , 2007-1 , 25.00元,8.8,14914人评价,佛陀的证悟
此生未完成,于娟 ,, 湖南科技出版社 , 2011-5 , 26.00元,8.9,17082人评价,一个母亲、妻子、女儿的生命日记
青铜时代,王小波 ,, 花城出版社 , 1997-5 , 29.00元,8.7,20794人评价,唐人传奇贯注现代情趣
认识电影,[美] 路易斯·贾内梯 , 焦雄屏 , 世界图书出版公司 , 2007-11 , 68.00元,8.9,14372人评价,电影入门经典之作
从一到无穷大,[美] G. 伽莫夫 , 暴永宁 译 , 科学出版社 , 2002-11 , 29.00元,9.1,10182人评价,科学中的事实和臆测
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 , 上海文艺出版社 , 2015-6-1 , CNY 20.00,9.1,10611人评价,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
孙子兵法,孙武 , 郭化若 , 上海古籍出版社 , 2006-7 , 20.00元,9.4,9440人评价,我国最古老最杰出的一部兵书
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 , 魏然 , 南海出版公司 , 2013-6 , 25.00元,8.7,24549人评价,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
水浒传（全二册）,[明] 施耐庵 ,, 人民文学出版社 , 1997-1 , 50.60元,8.6,59857人评价,替天行道
理想国,[古希腊] 柏拉图 , 郭斌和 , 商务印书馆 , 1986-8 , 28.00元,8.8,23849人评价,人类历史上最早的乌托邦
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 , 丁文林 , 南海出版公司 , 2009-3-1 , 25.00元,8.5,125086人评价,你自己就是最大的宝藏
繁花,金宇澄 ,, 上海文艺出版社 , 2013-3 , 48.00元,8.7,21114人评价,海上繁花，请静观静读
圣经,中国基督教协会 ,, 中国基督教协会 , 1996,,9.0,16452人评价,上帝说，要有光
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 , 叶李华 , 江苏凤凰文艺出版社 , 2015-10-1 , 328.00元,9.5,5851人评价,阿西莫夫经典科幻小说
火星救援,[美] 安迪·威尔 , 陈灼 , 译林出版社 , 2015-10 , 38.00,8.9,12949人评价,跟火星来一场不是你死就是我活的过家家游戏
